ticket	Ticket	biljett	ticket	billet	billete	bilhete	biglietto	билет	bilet	εισιτήριο	eisitírio	jegy	lippu	票	표	切符	vé	飞	fei1	票	phio3	تذكرة	tadhkira	टिकट	ticket	ticéad	tick-ay-ud	tocyn	тасалбар	bilet	بىلەت	bilet	นาฬิกา	nāa-lí-kāa 	tiketi	tiket	naaltsoos	nahl-tsohs
clock	Uhr	klocka	klok	horloge	reloj	relógio	orologio	часы	zegar	ρολόι	rolói	óra	kello	时钟	시계	时计	đồng hồ	钟	zung1	钟	tsiong1	ساعة	sa'a	घड़ी	ghadee	clog	klug	cloc	цаг	saat	سائەت	sa'et	โคมไฟ	khōom fāi 	saa	jam	oolkiłí	ool-kil-ee
lamp	Lampe	lampa	lamp	lampe	lámpara	lâmpada	lampada	лампа	lampa	λάμπα	lámpa	lámpa	lamppu	灯	램프	ランプ	đèn	灯	dang1	灯	ting1	مصباح	misbah	चिराग	chiraag	lampa	lampa	lamp	дэнлүү	lamba	چىراغ	chiragh	พัดลม	phát lōm 	taa	lampu	akʼah kǫʼí	ah-kah kon-ee
mobile phone	Handy	mobil	mobiel	portable	móvil	celular	cellulare	мобильный	komórka	κινητό	kinitó	mobil	kännykkä	手机	휴대폰	携带电话	điện thoại di động	手机	sau2 gei1	手机	tshiu2-ki1	جوال	jawwal	मोबाइल	mobile	fón póca	fone po-ka	ffôn symudol	гар утас	cep telefonu	يانفۇن	yanfun	อินเทอร์เน็ต	in-thoer-nèt 	simu ya mkononi	ponsel	béésh biiʼ haneʼé	baysh bee hah-nay-ay
internet	Internet	internet	internet	internet	internet	internet	internet	интернет	internet	διαδίκτυο	diadíktyo	internet	internet	互联网	인터넷	インターネット	internet	互联网	wu6 lyun4 mong5	网路	bang7-loo7	إنترنت	intirnit	इंटरनेट	internet	idirlíon	ij-ir-lyoon	rhyngrwyd	интернет	internet	ئىنتېرنېت	intérnét	คอมพิวเตอร์	khǎm-phiu-tôer 	mtandao	internet	internet	in-ter-net
computer	Computer	dator	computer	ordinateur	ordenador	computador	computer	компьютер	komputer	υπολογιστής	ypologistís	számítógép	tietokone	电脑	컴퓨터	コンピュータ	máy tính	电脑	din6 nou5	电脑	tian7-nau2	كمبيوتر	kambiyutar	कंप्यूटर	computer	ríomhaire	reev-ir-ah	cyfrifiadur	компьютер	bilgisayar	كومپيۇتېر	kompyutér	โน้ตบุ๊ก	nōot-búk 	kompyuta	komputer	béésh tʼą́hí	baysh tah-hee
laptop	Laptop	bärbar dator	laptop	ordinateur portable	portátil	laptop	laptop	ноутбук	laptop	φορητός	foritós	laptop	läppäri	笔记本电脑	노트북	ノートパソコン	máy tính xách tay	手提电脑	sau2 tai4 din6 nou5	笔记电脑	pit4-ki7-tian7-nau2	لابتوب	labtub	लैपटॉप	laptop	ríomhaire glúine	reev-ir-ah gloon-yeh	gliniadur	зөөврийн компьютер	dizüstü bilgisayar	نوتبۇك	notbuk	หน้าจอ	nâa chāw 	kipakatalishi	laptop	béésh tʼą́hí	baysh tah-hee
screen	Bildschirm	skärm	scherm	écran	pantalla	tela	schermo	экран	ekran	οθόνη	othóni	képernyő	näyttö	屏幕	화면	画面	màn hình	屏幕	ping4 mok6	屏幕	ping5-boo7	شاشة	shasha	स्क्रीन	screen	scáileán	skaw-lyawn	sgrin	дэлгэц	ekran	ئېكران	ékran	กล้อง	klâwng 	skrini	layar	binááʼ áłtsʼíísí	bee-nah ahl-tsee-see
camera	Kamera	kamera	camera	appareil photo	cámara	câmera	telecamera	камера	aparat	κάμερα	kámera	kamera	kamera	照相机	카메라	カメラ	máy ảnh	相机	soeng2 gei1	照相机	tsiau3-siong7-ki1	كاميرا	kamira	कैमरा	camera	ceamara	kyamma-ra	camera	камер	kamera	كامېرا	kamera	โทรทัศน์	thō-rá-thát 	kamera	kamera	beeʼelkidí	bay-el-ki-dee
television	Fernseher	tv	televisie	télévision	televisión	televisão	televisione	телевизор	telewizor	τηλεόραση	tileórasi	televízió	televisio	电视	텔레비전	テレビ	truyền hình	电视	din6 si6	电视	tian7-si7	تلفزيون	tilifizyun	टीवी	TV	teilifís	tel-a-feesh	teledu	зурагт	televizyon	تېلېۋىزور	téléwizor	วิทยุ	wít-thá-yú 	televisheni	televisi	nidaʼalkidí	ni-dah-al-ki-dee
radio	Radio	radio	radio	radio	radio	rádio	radio	радио	radio	ραδιόφωνο	radiófono	rádió	radio	收音机	라디오	ラジオ	đài phát thanh	收音机	sau1 jam1 gei1	收音机	siu1-im1-ki1	راديو	radiyu	रेडियो	radio	raidió	raj-ee-o	radio	радио	radyo	رادىئو	radi'o	ทะเล	thá-lēe 	redio	radio	béésh biiʼ haneʼé	baysh bee hah-nay-ay
sea	Meer	hav	zee	mer	mar	mar	mare	море	morze	θάλασσα	thálassa	tenger	meri	海	바다	海	biển	海	hoi2	海	hai2	بحر	bahr	समुद्र	samudr	farraige	far-i-geh	môr	далай	deniz	دېڭىز	déngiz	มหาสมุทร	má-hǎa sà-mùt 	bahari	laut	tónteel	ton-teel
ocean	Ozean	ocean	oceaan	océan	océano	oceano	oceano	океан	ocean	ωκεανός	okeanós	óceán	valtameri	海洋	대양	大洋	đại dương	海洋	hoi2 joeng4	海洋	hai2-iunn5	محيط	muhit	महासागर	mahaasaagar	aigéan	ag-ayn	cefnfor	далай	okyanus	ئوكيان	okyan	แม่น้ำ	mâe náam 	bahari kuu	samudra	tónteel tsoh	ton-teel tsoh
river	Fluss	flod	rivier	rivière	río	rio	fiume	река	rzeka	ποτάμι	potámi	folyó	joki	河	강	川	sông	河	ho4	河	ho5	نهر	nahr	नदी	nadee	abhainn	ow-in	afon	гол	nehir	دەريا	derya	ภูเขา	phūu khǎo 	mto	sungai	tooh	tooh
mountain	Berg	berg	berg	montagne	montaña	montanha	montagna	гора	góra	βουνό	vounó	hegy	vuori	山	산	山	núi	山	saan1	山	suann1	جبل	jabal	पहाड़	pahaad	sliabh	shlee-uv	mynydd	уул	dağ	تاغ	tagh	ฝน	fǒn 	mlima	gunung	dził	dzilth
rain	Regen	regn	regen	pluie	lluvia	chuva	pioggia	дождь	deszcz	βροχή	vrochí	eső	sade	雨	비	雨	mưa	雨	jyu5	雨	hoo7	مطر	matar	बारिश	baarish	báisteach	bawsh-tyukh	glaw	бороо	yağmur	يامغۇر	yamghur	หิมะ	hì-má 	mvua	hujan	nahałtin	nah-hahl-tin
snow	Schnee	snö	sneeuw	neige	nieve	neve	neve	снег	śnieg	χιόνι	chióni	hó	lumi	雪	눈	雪	tuyết	雪	syut3	雪	seh4	ثلج	thalj	बर्फ	barf	sneachta	shnakh-tah	eira	цас	kar	قار	qar	ต้นไม้	tôn māi 	theluji	salju	yas	yahs
tree	Baum	träd	boom	arbre	árbol	árvore	albero	дерево	drzewo	δέντρο	déntro	fa	puu	树	나무	木	cây	树	syu6	树	tshiu7	شجرة	shajara	पेड़	ped	crann	krown	coeden	мод	ağaç	دەرەخ	derex	ดวงอาทิตย์	dūang āa-thít 	mti	pohon	tsin	tsin
sun	Sonne	sol	zon	soleil	sol	sol	sole	солнце	słońce	ήλιος	ílios	nap	aurinko	太阳	태양	太阳	mặt trời	太阳	taai3 joeng4	太阳	thai7-iong5	شمس	shams	सूरज	sooraj	grian	gree-un	haul	нар	güneş	قۇياش	quyash	ดวงจันทร์	dūang chān 	jua	matahari	jóhonaaʼéí	jo-ho-nah-ay
moon	Mond	måne	maan	lune	luna	lua	luna	луна	księżyc	φεγγάρι	feggári	hold	kuu	月亮	달	月	mặt trăng	月亮	jyut6 loeng6	月娘	gueh8-niu5	قمر	qamar	चाँद	chaand	gealach	gyal-akh	lloer / lleuad	сар	ay	ئاي	ay	โลก	lôok 	mwezi	bulan	ooljééʼ	ool-jay
world	Welt	jord	aarde	monde	mundo	mundo	mondo	мир	świat	κόσμος	kósmos	világ	maailma	世界	세계	世界	thế giới	世界	sai3 gaai3	世界	se7-kai3	عالم	'alam	दुनिया	duniya	domhan	down	byd	ертөнц	dünya	دۇنيا	duniya	ป่า	pàa 	ulimwengu	dunia	nahasdzáán	nah-has-dzahn
earth	Erde	värld	wereld	terre	tierra	terra	terra	земля	ziemia	γη	gi	föld	maa	地球	지구	地球	trái đất	地球	dei6 kau4	地球	te7-kiu5	أرض	ard	पृथ्वी	prthvee	domhan	down	daear	дэлхий	yeryüzü	يەر شارى	yer shari	ท้องฟ้า	tháwng fáa 	dunia	bumi	niʼ	nee
forest	Wald	skog	bos	forêt	bosque	floresta	foresta	лес	las	δάσος	dásos	erdő	metsä	森林	숲	森林	rừng	森林	sam1 lam4	森林	sim1-lim5	غابة	ghaba	जंगल	jangal	foraois	fur-eesh	fforest	ой мод	orman	ئورمان	orman	พืช	phûet 	msitu	hutan	tsintah	tsin-tah
sky	Himmel	himmel	hemel	ciel	cielo	céu	cielo	небо	niebo	ουρανός	ouranós	ég	taivas	天空	하늘	空	bầu trời	天	tin1	天	thian1	سماء	sama'	आकाश	aakaash	spéir	spay-ir	awyr	тэнгэр	gökyüzü	ئاسمان	asman	ลม	lōm 	mbingu	langit	yádiłhił	yah-dilth-hilth
plant	Pflanze	växt	plant	plante	planta	planta	pianta	растение	roślina	φυτό	fytó	növény	kasvi	植物	식물	植物	thực vật	植物	zik6 mat6	植物	tsit8-but8	نبات	nabat	पौधा	paudha	planda	planda	planhigyn	ургамал	bitki	ئۆسۈملۈك	ösümlük	ดิน	dīn 	mmea	tanaman	chʼil	chil
wind	Wind	vind	wind	vent	viento	vento	vento	ветер	wiatr	άνεμος	ánemos	szél	tuuli	风	바람	风	gió	风	fung1	风	hong1	ريح	rih	हवा	hava	gaoth	gwee	gwynt	салхи	rüzgar	شامال	shamal	ดอกไม้	dǎok māi 	upepo	angin	níyol	nee-yol
soil	Boden	jord / mark	grond	sol	suelo	solo	suolo	почва	gleba	έδαφος	édafos	talaj	maaperä	土壤	흙	土	đất	泥	nei4	土	thoo5	تربة	turba	मिट्टी	mittee	ithir	ih-hir	pridd	хөрс	toprak	تۇپراق	tupraq	หุบเขา	hùp khǎo 	udongo	tanah	łeezh	tlee-zh
flower	Blume	blomma	bloem	fleur	flor	flor	fiore	цветок	kwiat	λουλούδι	louloúdi	virág	kukka	花	꽃	花	hoa	花	faa1	花	hue1	زهرة	zahra	फूल	phool	bláth	blaw	blodyn	цэцэг	çiçek	گۈل	gül	ทะเลสาบ	thá-lēe sàap 	ua	bunga	chʼil látah hózhóón	chil lah-tah ho-zhohn
valley	Tal	dal	dal	vallée	valle	vale	valle	долина	dolina	κοιλάδα	koiláda	völgy	laakso	山谷	계곡	谷	thung lũng	山谷	saan1 guk1	山谷	san1-kok4	واد	wadin	घाटी	ghaatee	gleann	glyown	dyffryn	хөндий	vadi	جىلغا	jilgha	ดาว	dāao 	bonde	lembah	tééh	tay
lake	See	sjö	meer	lac	lago	lago	lago	озеро	jezioro	λίμνη	límni	tó	järvi	湖	호수	湖	hồ	湖	wu4	湖	oo5	بحيرة	buhayra	झील	jheel	loch	lukh	llyn	нуур	göl	كۆل	köl	หญ้า	yâa 	ziwa	danau	beʼekʼid	beh-ay-kid
star	Stern	stjärna	ster	étoile	estrella	estrela	stella	звезда	gwiazda	αστέρι	astéri	csillag	tähti	星星	별	星	ngôi sao	星	sing1	星	tshinn1	نجمة	najma	तारा	taara	réalt	ray-ult	seren	од	yıldız	يۇلتۇز	yultuz	ใบไม้	bāi māi 	nyota	bintang	sǫʼ	son
grass	Gras	gräs	gras	herbe	hierba	grama	erba	трава	trawa	γρασίδι	grasídi	fű	ruoho	草	풀	草	cỏ	草	cou2	草	tshau2	عشب	'ushb	घास	ghaas	féar	fay-ur	glaswellt	өвс	çimen	ئوت	ot	ทราย	sāai 	nyasi	rumput	tłʼoh	tloh
leaf	Blatt	löv	blad	feuille	hoja	folha	foglia	лист	liść	φύλλο	fýllo	levél	lehti	叶子	잎	葉	lá	叶	jip6	叶	hioh8	ورقة	waraqa	पत्ती	pattee	duilleog	jill-yog	deilen	навч	yaprak	يوپۇرماق	yupurmaq	ชายหาด	chāai hàat 	jani	daun	bitʼąąʼ	bee-tahn
sand	Sand	sand	zand	sable	arena	areia	sabbia	песок	piasek	άμμος	ámmos	homok	hiekka	沙	모래	砂	cát	沙	saa1	沙	suaa1	رمل	raml	रेत	ret	gaineamh	gan-uv	tywod	элс	kum	قۇم	qum	คลื่น	khlûen 	mchanga	pasir	séeʼ	say
beach	Strand	strand	strand	plage	playa	praia	spiaggia	пляж	plaża	παραλία	paralía	strand	ranta	海滩	해변	砂浜	bãi biển	沙滩	saa1 taan1	海岸	hai2-huann7	شاطئ	shati'	समुद्र तट	samudr tat	trá	traw	traeth	далайн эрэг	plaj	ساھىل	sahil	ไฟ	fāi 	ufukoni	pantai	tábąąh	tah-bahn
wave	Welle	våg	golf	vague	ola	onda	onda	волна	fala	κύμα	kýma	hullám	aalto	浪	파도	波	sóng	浪	long6	涌	ing2	موجة	mawja	लहर	lahar	tonn	tunn	ton	давалгаа	dalga	دولقۇن	dolqun	น้ำแข็ง	náam khǎeng 	wimbi	gelombang	tónteel bitsʼą́ą́	ton-teel bee-tsahn
fire	Feuer	eld	vuur	feu	fuego	fogo	fuoco	огонь	ogień	φωτιά	fotiá	tűz	tuli	火	불	火	lửa	火	fo2	火	hue2	نار	nar	आग	aag	tine	tin-eh	tân	гал	ateş	ئوت	ot	เกาะ	kàw 	moto	api	kǫʼ	kon
ice	Eis	is	ijs	glace	hielo	gelo	ghiaccio	лёд	lód	πάγος	págos	jég	jää	冰	얼음	氷	đá	冰	bing1	冰	ping1	ثلج	thalj	बर्फ	barf	oighear	eye-er	iâ	мөс	buz	مۇز	muz	แก้ว	kâeo 	barafu	es	tin	teen
island	Insel	ö	eiland	île	isla	ilha	isola	остров	wyspa	νησί	nisí	sziget	saari	岛	섬	岛	đảo	岛	dou2	岛	too2	جزيرة	jazira	द्वीप	dveep	oileán	il-awn	ynys	арал	ada	ئارال	aral	โลหะ	lōo-hà 	kisiwa	pulau	kéyah tó bił naatʼaʼí	kay-yah toh bilth nah-tah-ee
glass	Glas	glas	glas	verre	vidrio	vidro	vetro	стекло	szkło	γυαλί	gyalí	üveg	lasi	玻璃	유리	ガラス	thủy tinh	玻璃	bo1 lei1	玻璃	po1-le5	زجاج	zujaj	काँच	kaanch	gloine	glinn-yeh	gwydr	шил	cam	ئەينەك	eynek	พลาสติก	phláas-tìk 	kioo	kaca	tsésǫʼ	tsay-son
metal	Metall	metall	metaal	métal	metal	metal	metallo	металл	metal	μέταλλο	métallo	fém	metalli	金属	금속	金属	kim loại	金属	gam1 suk6	金属	kim1-siok8	معدن	ma'dan	धातु	dhaatu	miotal	mitti-al	metal	металл	metal	مېتال	métal	ไม้	mái 	metali	logam	béésh	baysh
plastic	Kunststoff	plast	plastic	plastique	plástico	plástico	plastica	пластик	plastik	πλαστικό	plastikó	műanyag	muovi	塑料	플라스틱	プラスチック	nhựa	胶	gaau1	塑胶	soo2-ka1	بلاستيك	blastik	प्लास्टिक	plaastik	plaisteach	plash-tyukh	plastig	хуванцар	plastik	پلاستىك	plastik	หิน	hǐn 	plastiki	plastik	plastic	plas-tik
wood	Holz	trä	hout	bois	madera	madeira	legno	дерево	drewno	ξύλο	xýlo	fa	puu	木头	나무	木	gỗ	木	muk6	木	tshia5	خشب	khashab	लकड़ी	lakdee	adhmad	eye-mud	pren	мод	odun / tahta	ياغاچ	yaghach	เพชร	phét 	mbao	kayu	tsin	tsin
stone	Stein	sten	steen	pierre	piedra	pedra	pietra	камень	kamień	πέτρα	pétra	kő	kivi	石头	돌	石	đá	石头	sek6 tau4	石头	tsioh8-thau5	حجر	hajar	पत्थर	patthar	cloch	klukh	carreg	чулуу	taş	تاش	tash	ทอง	thāwng 	jiwe	batu	tsé	tsay
diamond	Diamant	diamant	diamant	diamant	diamante	diamante	diamante	алмаз	diament	διαμάντι	diamánti	gyémánt	timantti	钻石	다이아몬드	ダイヤモンド	kim cương	钻石	zyun3 sek6	钻石	tsuan3-tsioh8	ألماس	almas	हीरा	heera	diamant	jee-am-ant	diemwnt	алмаз	elmas	ئالماس	almas	เงิน	ngōen 	almasi	berlian	tsé łikaní	tsay tlee-kah-nee
gold	Gold	guld	goud	or	oro	ouro	oro	золото	złoto	χρυσός	chrysós	arany	kulta	金	금	金	vàng	金	gam1	金	kim1	ذهب	dhahab	सोना	sona	ór	or	aur	алт	altın	ئالتۇن	altun	สุนัข	sù-nák 	dhahabu	emas	óola	oh-lah
silver	Silber	silver	zilver	argent	plata	prata	argento	серебро	srebro	ασήμι	asími	ezüst	hopea	银	은	银	bạc	银	ngan4	银	gin5	فضة	fidda	चाँदी	chaandee	airgead	ar-ig-ud	arian	мөнгө	gümüş	كۈمۈش	kümüsh	แมว	māeo 	fedha	perak	béésh łigai	baysh tlee-guy
dog	Hund	hund	hond	chien	perro	cachorro	cane	собака	pies	σκύλος	skýlos	kutya	koira	狗	개	犬	chó	狗	gau2	狗	kau2	كلب	kalb	कुत्ता	kutta	madra	mod-ra	ci	нохой	köpek	ئىت	it	ปลา	plāa 	mbwa	anjing	łééchąąʼí	tlay-chan-ee
cat	Katze	katt	kat	chat	gato	gato	gatto	кошка	kot	γάτα	gáta	macska	kissa	猫	고양이	猫	mèo	猫	maau1	猫	niau1	قط	qitt	बिल्ली	billee	cat	kat	cath	муур	kedi	مۈشۈك	müshük	นก	nók 	paka	kucing	mósí	mo-see
fish	Fisch	fisk	vis	poisson	pez	peixe	pesce	рыба	ryba	ψάρι	psári	hal	kala	鱼	물고기	鱼	cá	鱼	jyu2	鱼	hi5	سمك	samak	मछली	machhalee	iasc	ee-ask	pysgodyn	загас	balık	بېلىق	béliq	วัว	wua 	samaki	ikan	łóóʼ	tloh
bird	Vogel	fågel	vogel	oiseau	pájaro	pássaro	uccello	птица	ptak	πουλί	poulí	madár	lintu	鸟	새	鸟	chim	鸟	niu5	鸟	tsiau2	طائر	ta'ir	पक्षी	pakshee	éan	ay-un	aderyn	шувуу	kuş	قۇش	qush	หมู	mǔu 	ndege	burung	tsídii	tsee-dee
cow	Kuh	ko	koe	vache	vaca	vaca	mucca	корова	krowa	αγελάδα	ageláda	tehén	lehmä	牛	소	牛	bò	牛	ngau4	牛	gu5	بقرة	baqara	गाय	gaay	bó	bo	buwch	үхэр	inek	كالا	kala	หนู	nǔu 	ng'ombe	sapi	béégashii	bay-gah-shee
pig	Schwein	gris	varken	cochon	cerdo	porco	maiale	свинья	świnia	γουρούνι	gouroúni	sertés	sika	猪	돼지	豚	lợn	猪	zyu1	猪	ti1	خنزير	khinzir	सूअर	sooar	muc	mwick	mochyn	гахай	domuz	چوشقا	choshqa	ม้า	máa 	nguruwe	babi	bisóodi	bee-so-dee
mouse	Maus	mus	muis	souris	ratón	rato	topo	мышь	mysz	ποντίκι	pontíki	egér	hiiri	老鼠	쥐	鼠	chuột	老鼠	lou5 syu2	鸟鼠	niau2-tshi2	فأر	fa'r	चूहा	chooha	luch	lukh	llygoden	хулгана	fare	چاشقان	chashqan	ปีก	pìik 	panya	tikus	naʼastsʼǫǫsí	nah-as-tson-see
horse	Pferd	häst	paard	cheval	caballo	cavalo	cavallo	лошадь	koń	άλογο	álogo	ló	hevonen	马	말	马	ngựa	马	maa5	马	be2	حصان	hisan	घोड़ा	ghoda	capall	kapp-ul	ceffyl	морь	at	ئات	at	สัตว์	sàt 	farasi	kuda	łį́į́ʼ	tleen
wing	Flügel	vinge	vleugel	aile	ala	asa	ala	крыло	skrzydło	φτερό	fteró	szárny	siipi	翅膀	날개	翼	cánh	翼	jik6	翼	sit8	جناح	janah	पंख	pankh	sciathán	shkee-hawn	adain	далавч	kanat	قانات	qanat	ครู	khrūu 	bawa	sayap	bitʼaʼ	bee-tah
animal	Tier	djur	dier	animal	animal	animal	animale	животное	zwierzę	ζώο	zóo	állat	eläin	动物	동물	动物	động vật	动物	dung6 mat6	动物	tong7-but8	حيوان	hayawan	जानवर	jaanavar	ainmhí	an-vee	anifail	амьтан	hayvan	ھايۋان	haywan	นักเรียน	nák rīan 	mnyama	hewan	naaldlooshii	nahl-dloo-shee
teacher	Lehrer	lärare	leraar	professeur	profesor	professor	insegnante	учитель	nauczyciel	δάσκαλος	dáskalos	tanár	opettaja	老师	선생님	先生	giáo viên	老师	lou5 si1	老师	lau7-su1	معلم	mu'allim	अध्यापक	adhyaapak	múinteoir	moon-tyo-ir	athro	багш	öğretmen	مۇئەللىم	mu'ellim	ทนายความ	thá-nāai khwāam 	mwalimu	guru	báʼóltaʼí	bah-ol-ta-ee
student	Student	elev / student	leerling	étudiant	estudiante	estudante	studente	студент	student	μαθητής	mathitís	diák	opiskelija	学生	학생	学生	sinh viên	学生	hok6 saang1	学生	hak8-sing1	طالب	talib	छात्र	chhaatr	mac léinn	mack lyayn	myfyriwr	оюутан	öğrenci	ئوقۇغۇچى	oqughuchi	หมอ	mǎaw 	mwanafunzi	siswa	óltaʼí	ol-ta-ee
lawyer	Anwalt	advokat	advocaat	avocat	abogado	advogado	avvocato	юрист	prawnik	δικηγόρος	dikigóros	ügyvéd	asianajaja	律师	변호사	弁护士	luật sư	律师	leot6 si1	律师	lut8-su1	محام	muhamin	वकील	vakeel	dlíodóir	jlee-o-do-ir	cyfreithiwr	хуульч	avukat	ئادۋوكات	adwokat	คนไข้	khōn khâi 	mwanasheria	pengacara	aghaʼdiitʼaahii	ah-gah-dee-tah-hee
doctor	Arzt	läkare	dokter	médecin	médico	médico	medico	врач	lekarz	γιατρός	giatrós	orvos	lääkäri	医生	의사	医者	bác sĩ	医生	ji1 sang1	医生	i1-sing1	طبيب	tabib	डॉक्टर	doctor	dochtúir	dukh-toor	meddyg	эмч	doktor	دوختۇر	doxtur	บริกร	bāw-rí-kāwn 	daktari	dokter	azeeʼíílʼíní	ah-zay-eel-ee-nee
patient	Patient	patient	patiënt	patient	paciente	paciente	paziente	пациент	pacjent	ασθενής	asthenís	beteg	potilas	病人	환자	患者	bệnh nhân	病人	beng6 jan4	病人	penn7-lang5	مريض	marid	मरीज़	mareez	othar	uh-har	claf	өвчтөн	hasta	كېسەل	késel	เลขานุการ	lēe-khǎa-nú-kāan 	mgonjwa	pasien	bąą dah hiniiʼí	bah dah hee-nee-ee
waiter	Kellner	servitör	ober	serveur	camarero	garçom	cameriere	официант	kelner	σερβιτόρος	servitóros	pincér	tarjoilija	服务员	웨이터	ウェイター	bồi bàn	伙计	fo2 gei3	招呼员	tsiau1-hoo1-uan5	نادل	nadil	बैरा	baira	freastalaí	fras-tal-ee	gweinydd	зөөгч	garson	مۇلازىمەتچى	mulazimetchi	นักบวช	nák bùat 	mhudumu	pelayan	waiter	way-ter
secretary	Sekretär	sekreterare	secretaresse	secrétaire	secretario	secretário	segretario	секретарь	sekretarz	γραμματέας	grammatéas	titkár	sihteeri	秘书	비서	秘书	thư ký	秘书	bei3 syu1	秘书	bi7-su1	سكرتير	sikritir	सचिव	sachiv	rúnaí	roon-ee	ysgrifennydd	нарийн бичиг	sekreter	كاتىپ	katip	ตำรวจ	tām-rùat 	katibu	sekretaris	akʼeʼelchíhí	ah-kay-el-chee-hee
priest	Priester	präst	priester	prêtre	sacerdote	padre	prete	священник	ksiądz	ιερέας	ieréas	pap	pappi	牧师/神父	신부/목사	神父	linh mục	神父	san4 fu6	牧师	bok8-su1	كاهن	kahin	पुजारी	pujaaree	sagart	sog-urt	offeiriad	санваартан	rahip	پوپ	pop	กองทัพ	kāung tháp 	kasisi	pendeta	edáʼniih bá hooghan	ay-dah-neeh bah hoo-ghan
police	Polizei	polis	politie	police	policía	polícia	polizia	полиция	policja	αστυνομία	astynomía	rendőrség	poliisi	警察	경찰	警察	cảnh sát	警察	ging2 caat3	警察	king2-tshiat4	شرطة	shurta	पुलिस	police	póilíní	po-leen-ee	heddlu	цагдаа	polis	ساقچى	saqchi	ทหาร	thá-hǎan 	polisi	polisi	siláo	si-lao
army	Armee	armé	leger	armée	ejército	exército	esercito	армия	armia	στρατός	stratós	hadsereg	armeija	军队	군대	军队	quân đội	军队	gwan1 deoi6	军队	kun1-tui7	جيش	jaysh	सेना	sena	arm	ar-um	byddin	арми	ordu	قوشۇن	qoshun	ศิลปิน	sǐn-lá-pīn 	jeshi	tentara	siláołtsooí	si-lao-tsoo-ee
soldier	Soldat	soldat	soldaat	soldat	soldado	soldado	soldato	солдат	żołnierz	στρατιώτης	stratiótis	katona	sotilas	士兵	군인	兵士	binh lính	兵	bing1	兵	ping1	جندي	jundi	सिपाही	sipaahee	saighdiúir	sye-jo-ir	milwr	цэрэг	asker	ئەسكەر	esker	นักเขียน	nák khǐan 	askari	prajurit	siláo	si-lao
artist	Künstler	konstnär	kunstenaar	artiste	artista	artista	artista	художник	artysta	καλλιτέχνης	kallitéchnis	művész	taiteilija	艺术家	예술가	芸术家	nghệ sĩ	艺术家	ngai6 seot6 gaa1	艺术家	ge7-sut8-ka1	فنان	fannan	कलाकार	kalaakaar	ealaíontóir	al-een-to-ir	artist	зураач	sanatçı	سەنئەتكار	sen'etkar	ผู้จัดการ	phûu chàt kāan 	msanii	seniman	artist	ar-tist
writer	Schriftsteller	författare	schrijver	écrivain	escritor	escritor	scrittore	писатель	pisarz	συγγραφέας	syngraféas	író	kirjailija	作者	작가	作家	nhà văn	作者	zok3 ze2	作者	tsok4-tsia2	كاتب	katib	लेखक	lekhak	scríbhneoir	shkree-vno-ir	awdur	зохиолч	yazar	يازغۇچى	yazghuchi	นักข่าว	nák khàao 	mwandishi	penulis	writer	ry-ter
manager	Manager	chef	manager	directeur	gerente	gerente	dirigente	менеджер	menedżer	διευθυντής	diefthyntís	menedzser	johtaja	经理	매니저	经理	quản lý	经理	ging1 lei5	经理	king1-li2	مدير	mudir	प्रबंधक	prabandhak	bainisteoir	bwan-ish-tyo-ir	rheolwr	менежер	müdür	مۇدىر	mudir	นักแสดง	nák sà-dāeng 	meneja	manajer	manager	man-ah-jer
journalist	Journalist	journalist	journalist	journaliste	periodista	jornalista	giornalista	журналист	dziennikarz	δημοσιογράφος	dimosiográfos	újságíró	toimittaja	记者	기자	记者	nhà báo	记者	gei3 ze2	记者	ki7-tsia2	صحفي	sahafi	पत्रकार	patrakaar	iriseoir	ir-ish-o-ir	newyddiadurwr	сэтгүүлч	gazeteci	مۇخبىر	muxbir	ปี	pīi 	mwandishi wa habari	jurnalis	journalist	jur-nal-ist
actor	Schauspieler	skådespelare	acteur	acteur	actor	ator	attore	актёр	aktor	ηθοποιός	ithopoiós	színész	näyttelijä	演员	배우	俳优	diễn viên	演员	jin2 jyun4	演员	ian2-uan5	ممثل	mumaththil	अभिनेता	abhinneta	aisteoir	ash-tyo-ir	actor	жүжигчин	aktör	ئارتىس	artis	เดือน	dūean 	muigizaji	aktor	actor	ak-tor
year	Jahr	år	jaar	an	año	ano	anno	год	rok	έτος	étos	év	vuosi	年	년	年	năm	年	nin4	年	ni5	سنة	sana	साल	saal	bliain	blee-un	blwyddyn	жил	yıl	يىل	yil	สัปดาห์	sàp-dāa 	mwaka	tahun	nááhai	nah-high
month	Monat	månad	maand	mois	mes	mês	mese	месяц	miesiąc	μήνας	mínas	hónap	kuukausi	月	월	月	tháng	月	jyut6	月	gueh8	شهر	shahr	महीना	maheena	mí	mee	mis	сар	ay	ئاي	ay	วัน	wān 	mwezi	bulan	nídizídi	nee-di-zee-dee
week	Woche	vecka	week	semaine	semana	semana	settimana	неделя	tydzień	εβδομάδα	evdomáda	hét	viikko	星期	주	周	tuần	星期	sing1 kei4	礼拜	le2-pai7	أسبوع	usbu'	हफ़्ता	hafta	seachtain	shakht-in	wythnos	долоо хоног	hafta	ھەپتە	hepte	ชั่วโมง	chûa-mōong 	wiki	minggu	damį́įgo	dah-meen-go
